Code,Date,High,Low,Close,Code,High,Low,Close,Code,High,Low,Close,Code,High,Low,Close,Cases India,Cases UK,Cases US,Cases STRAYA
XFJ,2020-02-05,6234.5,6179.9,6185.2,XHJ,46447,45583.9,45866.1,XIJ,1592.7,1558.3,1590.7,XJR,4864.2,4817,4864.2,0,0,1,0
XFJ,2020-02-06,6276.2,6185.2,6272.5,XHJ,46708.3,45866.1,46455.3,XIJ,1608.2,1581.2,1594.9,XJR,4924.8,4864.2,4924.8,0,1,0,0
XFJ,2020-02-07,6280.9,6222.9,6260.4,XHJ,46655.8,46333.2,46420.7,XIJ,1599.3,1582.1,1587.8,XJR,4924.8,4854.5,4861.7,0,0,0,0
XFJ,2020-02-10,6262.5,6219.7,6234.4,XHJ,46838.4,46182.4,46742,XIJ,1590.2,1568.1,1570.8,XJR,4861.7,4800.8,4838.5,0,1,1,0
XFJ,2020-02-11,6285.8,6234.4,6267,XHJ,47219.7,46609,47084.1,XIJ,1599.3,1570.8,1597.5,XJR,4865.5,4827.6,4862.1,0,0,0,0
XFJ,2020-02-12,6391.1,6267,6379,XHJ,47784.5,46655.2,47272.9,XIJ,1607.5,1578.1,1588.9,XJR,4871.9,4834.9,4851,0,1,1,0
XFJ,2020-02-13,6440.4,6377.8,6400.7,XHJ,47746.5,47143.3,47400.6,XIJ,1612.8,1588.9,1594.2,XJR,4911.7,4851,4865.4,0,0,1,0
XFJ,2020-02-14,6493.6,6399.2,6486.6,XHJ,47594.9,47243,47557.1,XIJ,1595.2,1575.6,1586.7,XJR,4874.7,4831,4843.7,0,0,0,0
XFJ,2020-02-17,6490.9,6428.2,6458.1,XHJ,47837,47501.7,47718.4,XIJ,1604.5,1586.7,1604.4,XJR,4863.1,4836.1,4846.3,0,0,0,0
XFJ,2020-02-18,6480.9,6450.1,6480.9,XHJ,47718.4,47272.3,47378.6,XIJ,1604.4,1552.2,1585.6,XJR,4862.8,4823.4,4838.6,0,0,0,0
XFJ,2020-02-19,6486,6406.1,6437.9,XHJ,48747.2,47364.5,48747.2,XIJ,1585.6,1528.7,1535.8,XJR,4868.8,4830.8,4866.1,0,0,0,0
XFJ,2020-02-20,6476.3,6422.9,6461.4,XHJ,48812.6,48260.6,48347.6,XIJ,1551.2,1507.8,1509.5,XJR,4915.7,4866.1,4889.5,0,0,1,0
XFJ,2020-02-21,6495.4,6446.3,6494.3,XHJ,48425.8,47876,47922,XIJ,1511.5,1493.7,1495,XJR,4889.5,4851.5,4851.5,0,0,19,0
XFJ,2020-02-24,6494.3,6348.9,6381.8,XHJ,47922,46480.7,46504.1,XIJ,1495,1436.5,1436.5,XJR,4851.5,4735.9,4746.8,0,0,18,0
XFJ,2020-02-25,6381.8,6216.7,6298.8,XHJ,46504.1,45091,46124.3,XIJ,1444.3,1368.2,1432.6,XJR,4746.8,4631.2,4639.4,0,2,0,0
XFJ,2020-02-26,6298.8,6149.3,6173.8,XHJ,46124.3,44452,44452.9,XIJ,1432.6,1376.8,1380.9,XJR,4639.4,4526,4531.8,0,5,6,0
XFJ,2020-02-27,6186.4,6066.6,6094.3,XHJ,45168.1,43981.3,45020.7,XIJ,1398.6,1348.3,1351.1,XJR,4551.6,4460,4491,0,4,1,0
XFJ,2020-02-28,6094.3,5869.7,5904.3,XHJ,45020.7,43602.8,43816.8,XIJ,1351.1,1280,1287.5,XJR,4491,4275.4,4283.6,0,8,6,0
XFJ,2020-03-02,5904.3,5691.4,5816.6,XHJ,43888.9,42583.9,43474.7,XIJ,1304.5,1259.1,1298.4,XJR,4275.3,4097.5,4267.2,0,22,14,0
XFJ,2020-03-03,5904.3,5763.2,5763.2,XHJ,44951.4,43474.7,44560,XIJ,1360.4,1298.4,1331.1,XJR,4378.1,4267.2,4314.2,2,40,22,0
XFJ,2020-03-04,5763.2,5590.4,5605.5,XHJ,44560,43413.8,43540.5,XIJ,1331.1,1275.5,1275.5,XJR,4326,4276.4,4301,1,55,34,0
XFJ,2020-03-05,5700.8,5605.5,5634.1,XHJ,44983.2,43540.5,44733.5,XIJ,1315.5,1275.5,1294.3,XJR,4369.1,4292.3,4309.3,22,56,74,0
XFJ,2020-03-06,5634.1,5397.6,5397.6,XHJ,44782.1,44180.6,44343.4,XIJ,1294.3,1240.1,1240.1,XJR,4309.3,4197.2,4197.2,1,51,105,0
XFJ,2020-03-09,5397.6,4987.5,4987.5,XHJ,44343.4,41885.2,41885.2,XIJ,1240.1,1127.5,1128,XJR,4197.2,3675.8,3675.8,0,0,0,0
XFJ,2020-03-10,5221.8,4783.7,5221.8,XHJ,43427.8,39259.1,43427.8,XIJ,1182.5,1084,1180.6,XJR,3829.3,3561,3829.3,10,57,200,0
XFJ,2020-03-11,5238.8,4947,4947,XHJ,44572,42473.9,42473.9,XIJ,1190.7,1139.4,1139.4,XJR,3849.1,3700.4,3700.4,6,148,271,0
XFJ,2020-03-12,4947,4550.9,4550.9,XHJ,42473.9,38818.8,39461.9,XIJ,1139.4,1041.8,1055.7,XJR,3700.4,3361.2,3420.3,23,259,287,0
