Code,Date,Open,High,Low,Close,Volume,Value,Trades,N/A,N/A
XJR,2020-3-10,0,3829.3,3561,3829.3,0,0,0,N/A,N/A
XJR,2020-3-11,0,3849.1,3700.4,3700.4,0,0,0,N/A,N/A
XJR,2020-3-12,0,3700.4,3361.2,3420.3,0,0,0,N/A,N/A
XJR,2020-3-13,0,3563,3127.3,3563,0,0,0,N/A,N/A
XJR,2020-3-16,0,3563,3252.9,3252.9,0,0,0,N/A,N/A
XJR,2020-3-17,0,3553.9,3252.9,3526.2,0,0,0,N/A,N/A
XJR,2020-3-18,0,3551.3,3323.3,3369.3,0,0,0,N/A,N/A
XJR,2020-3-19,0,3448,3241.3,3286.7,0,0,0,N/A,N/A
XJR,2020-3-20,0,3426.4,3286.7,3296.5,0,0,0,N/A,N/A
XJR,2020-3-23,0,3296.5,3105.5,3192,0,0,0,N/A,N/A
XJR,2020-3-24,0,3386.5,3192,3381.2,0,0,0,N/A,N/A
XJR,2020-3-25,0,3667.7,3381.2,3629.4,0,0,0,N/A,N/A
XJR,2020-3-26,0,3722,3605.4,3641,0,0,0,N/A,N/A
XJR,2020-3-27,0,3719.7,3450.8,3450.8,0,0,0,N/A,N/A
XJR,2020-3-30,0,3584.3,3362.4,3584.3,0,0,0,N/A,N/A
XJR,2020-3-31,0,3630.4,3433.1,3469.2,0,0,0,N/A,N/A
XJR,2020-4-1,0,3642.3,3469.2,3617.7,0,0,0,N/A,N/A
XJR,2020-4-2,0,3628.1,3544.9,3602.2,0,0,0,N/A,N/A
XJR,2020-4-3,0,3802,3602.2,3642.6,0,0,0,N/A,N/A
XJR,2020-4-6,0,3820.8,3642.6,3814.8,0,0,0,N/A,N/A
XJR,2020-4-7,0,3929.9,3780.5,3837.5,0,0,0,N/A,N/A
XJR,2020-4-8,0,3890.6,3760.8,3804.5,0,0,0,N/A,N/A
XJR,2020-4-9,0,3873.7,3786.3,3861.2,0,0,0,N/A,N/A
XJR,2020-4-14,0,3995.4,3856.9,3983.3,0,0,0,N/A,N/A
XJR,2020-4-15,0,3986.6,3899.8,3939,0,0,0,N/A,N/A
XJR,2020-4-16,0,3939,3819.2,3879.5,0,0,0,N/A,N/A
XJR,2020-4-17,0,3957.8,3879.5,3918.9,0,0,0,N/A,N/A
XJR,2020-4-20,0,3936.5,3816,3816,0,0,0,N/A,N/A
XJR,2020-4-21,0,3821.6,3743.9,3754.6,0,0,0,N/A,N/A
XJR,2020-4-22,0,3754.6,3626.4,3674.2,0,0,0,N/A,N/A
XJR,2020-4-23,0,3797.1,3674.2,3767.9,0,0,0,N/A,N/A
XJR,2020-4-24,0,3848.4,3767.9,3832.9,0,0,0,N/A,N/A
XJR,2020-4-27,0,3860.3,3784.6,3846.9,0,0,0,N/A,N/A
XJR,2020-4-28,0,3855.1,3791.4,3815.2,0,0,0,N/A,N/A
XJR,2020-4-29,0,3896.5,3815.2,3882,0,0,0,N/A,N/A
XJR,2020-4-30,0,4034.4,3882,4029.3,0,0,0,N/A,N/A
XJR,2020-5-1,0,4029.3,3749,3749,0,0,0,N/A,N/A
XJR,2020-5-4,0,3780.2,3684,3771,0,0,0,N/A,N/A
XJR,2020-5-5,0,3885.1,3771,3885.1,0,0,0,N/A,N/A
XJR,2020-5-6,0,3908,3849.6,3884,0,0,0,N/A,N/A
XJR,2020-5-7,0,3901.5,3861.7,3896.8,0,0,0,N/A,N/A
XJR,2020-5-8,0,3963.7,3896.8,3937.4,0,0,0,N/A,N/A
XJR,2020-5-11,0,4008.2,3937.4,3989.9,0,0,0,N/A,N/A
XJR,2020-5-12,0,3989.9,3881.1,3902.9,0,0,0,N/A,N/A
XJR,2020-5-13,0,3929.7,3837.3,3929.7,0,0,0,N/A,N/A
XJR,2020-5-14,0,3942.7,3886,3889.1,0,0,0,N/A,N/A
XJR,2020-5-15,0,4024,3889.1,4019.7,0,0,0,N/A,N/A
XJR,2020-5-18,0,4213.5,4019.7,4195.6,0,0,0,N/A,N/A
XJR,2020-5-19,0,4361.4,4195.6,4350.7,0,0,0,N/A,N/A
XJR,2020-5-20,0,4355.4,4281.4,4335.1,0,0,0,N/A,N/A
XJR,2020-5-21,0,4398.7,4319,4322.6,0,0,0,N/A,N/A
XJR,2020-5-22,0,4346.7,4263.2,4275.2,0,0,0,N/A,N/A
XJR,2020-5-25,0,4343.5,4275.2,4336.8,0,0,0,N/A,N/A
XJR,2020-5-26,0,4420.9,4332.6,4420.9,0,0,0,N/A,N/A
XJR,2020-5-27,0,4420.9,4286.3,4301.3,0,0,0,N/A,N/A
XJR,2020-5-28,0,4392,4301.3,4352.3,0,0,0,N/A,N/A
XJR,2020-5-29,0,4384.7,4327.7,4348.9,0,0,0,N/A,N/A
XJR,2020-6-1,0,4480.8,4348.9,4480.8,0,0,0,N/A,N/A
XJR,2020-6-2,0,4483.8,4426.8,4467.5,0,0,0,N/A,N/A
XJR,2020-6-3,0,4518.5,4467.5,4514.1,0,0,0,N/A,N/A
XJR,2020-6-4,0,4536.4,4459.1,4485.3,0,0,0,N/A,N/A
XJR,2020-6-5,0,4505.5,4462.7,4494.2,0,0,0,N/A,N/A
XJR,2020-6-9,0,4663.2,4494.2,4606.4,0,0,0,N/A,N/A
XJR,2020-6-10,0,4626.5,4562.6,4586.2,0,0,0,N/A,N/A
XJR,2020-6-11,0,4599.9,4511.8,4512,0,0,0,N/A,N/A
XJR,2020-6-12,0,4512,4347.2,4413.3,0,0,0,N/A,N/A
XJR,2020-6-15,0,4422,4305.5,4305.5,0,0,0,N/A,N/A
XJR,2020-6-16,0,4487.6,4305.5,4458.3,0,0,0,N/A,N/A
XJR,2020-6-17,0,4487.1,4397.8,4437.5,0,0,0,N/A,N/A
XJR,2020-6-18,0,4437.5,4355.8,4388,0,0,0,N/A,N/A
XJR,2020-6-19,0,4429.1,4344.6,4348.1,0,0,0,N/A,N/A
XJR,2020-6-22,0,4424.8,4331.7,4400.2,0,0,0,N/A,N/A
XJR,2020-6-23,0,4461.7,4370.6,4423.6,0,0,0,N/A,N/A
XJR,2020-6-24,0,4472.1,4423.3,4462.1,0,0,0,N/A,N/A
XJR,2020-6-25,0,4462.1,4321.7,4321.7,0,0,0,N/A,N/A
XJR,2020-6-26,0,4410.1,4321.7,4410.1,0,0,0,N/A,N/A
XJR,2020-6-29,0,4410.1,4315.8,4340.9,0,0,0,N/A,N/A
XJR,2020-6-30,0,4466.4,4340.9,4422.6,0,0,0,N/A,N/A
XJR,2020-7-1,0,4465.2,4422.6,4449.9,0,0,0,N/A,N/A
XJR,2020-7-2,0,4489.8,4413.3,4483.7,0,0,0,N/A,N/A
XJR,2020-7-3,0,4523.5,4457.4,4482.1,0,0,0,N/A,N/A
XJR,2020-7-6,0,4482.1,4434,4434,0,0,0,N/A,N/A
XJR,2020-7-7,0,4522.6,4434,4490,0,0,0,N/A,N/A
XJR,2020-7-8,0,4543.5,4462.1,4467.5,0,0,0,N/A,N/A
XJR,2020-7-9,0,4592.1,4467.5,4558.2,0,0,0,N/A,N/A
XJR,2020-7-10,0,4558.2,4491.1,4507.3,0,0,0,N/A,N/A
XJR,2020-7-13,0,4589.3,4507.3,4584.6,0,0,0,N/A,N/A
XJR,2020-7-14,0,4584.6,4518.4,4567.6,0,0,0,N/A,N/A
XJR,2020-7-15,0,4690.8,4567.6,4674.8,0,0,0,N/A,N/A
XJR,2020-7-16,0,4677.9,4619.8,4636.2,0,0,0,N/A,N/A
XJR,2020-7-17,0,4675.9,4628.8,4667.7,0,0,0,N/A,N/A
XJR,2020-7-20,0,4704.9,4665.2,4674.8,0,0,0,N/A,N/A
XJR,2020-7-21,0,4767.4,4674.8,4765.4,0,0,0,N/A,N/A
XJR,2020-7-22,0,4765.4,4702.4,4716.4,0,0,0,N/A,N/A
XJR,2020-7-23,0,4730.6,4687.4,4722.2,0,0,0,N/A,N/A
XJR,2020-7-24,0,4722.2,4669.8,4678.6,0,0,0,N/A,N/A
XJR,2020-7-27,0,4755.6,4667.4,4740.3,0,0,0,N/A,N/A
XJR,2020-7-28,0,4854.4,4740.3,4762.3,0,0,0,N/A,N/A
XJR,2020-7-29,0,4762.3,4677.2,4684.6,0,0,0,N/A,N/A
XJR,2020-7-30,0,4733.6,4684.6,4733.4,0,0,0,N/A,N/A
XJR,2020-7-31,0,4733.4,4583,4613.7,0,0,0,N/A,N/A
XJR,2020-8-3,0,4690.6,4612.1,4687.3,0,0,0,N/A,N/A
XJR,2020-8-4,0,4783.4,4687.3,4752.6,0,0,0,N/A,N/A
XJR,2020-8-5,0,4786.6,4744.6,4776.8,0,0,0,N/A,N/A
XJR,2020-8-6,0,4896.3,4776.8,4896.3,0,0,0,N/A,N/A
XJR,2020-8-7,0,4896.3,4814.5,4826,0,0,0,N/A,N/A
XJR,2020-8-10,0,4880.7,4800.3,4872.1,0,0,0,N/A,N/A
XJR,2020-8-11,0,4925.6,4858.2,4860.1,0,0,0,N/A,N/A
XJR,2020-8-12,0,4860.1,4768.5,4793,0,0,0,N/A,N/A
XJR,2020-8-13,0,4839.7,4775.3,4789.6,0,0,0,N/A,N/A
XJR,2020-8-14,0,4821.8,4788.3,4808.8,0,0,0,N/A,N/A
XJR,2020-8-17,0,4822.1,4772.6,4791.9,0,0,0,N/A,N/A
XJR,2020-8-18,0,4853.8,4777.9,4827.7,0,0,0,N/A,N/A
XJR,2020-8-19,0,4828.2,4771.5,4773.3,0,0,0,N/A,N/A
XJR,2020-8-20,0,4773.3,4685.5,4703.8,0,0,0,N/A,N/A
XJR,2020-8-21,0,4736.6,4688.3,4698.6,0,0,0,N/A,N/A
XJR,2020-8-24,0,4724.9,4665.1,4714,0,0,0,N/A,N/A
XJR,2020-8-25,0,4743.1,4674.7,4684.8,0,0,0,N/A,N/A
XJR,2020-8-26,0,4684.8,4627.2,4645.7,0,0,0,N/A,N/A
XJR,2020-8-27,0,4707.5,4645.7,4688.9,0,0,0,N/A,N/A
XJR,2020-8-28,0,4688.9,4587.2,4601.3,0,0,0,N/A,N/A
